Время, сек;Rz_L, Н;Rz_R, Н;Rx, Н
0;0;0;
0,01;26114,3;14264;650
0,02;23865;22976;650
0,03;20587,3;24575;650
0,04;18983,4;24851;650
0,05;19599,2;22757,3;650
0,06;21131,6;20498,5;650
0,07;22364,4;19016,2;650
0,08;22461,7;18845;650
0,09;21596,6;19710;650
0,1;20494,8;20875,3;650
0,11;20036,7;21677,9;650
0,12;20552,4;21841,7;650
0,13;21604;21579,8;650
0,14;22532,7;21279,4;650
0,15;22751,7;21195,3;650
0,16;22249;21344,5;650
0,17;21451,8;21540,9;650
0,18;20931,5;21594,2;650
0,19;20989,6;21384,5;650
0,2;21457,4;21048,5;650
0,21;21930,5;20766,8;650
0,22;22028,6;20681,9;650
0,23;21746,5;20765,2;650
0,24;21370,1;20898,2;650
0,25;21206,4;20973,1;650
0,26;21388,4;20946,4;650
0,27;21714;20893,9;650
0,28;21922,5;20846,9;650
0,29;21867,6;20886,9;650
0,3;21660,6;20974,9;650
0,31;21514,2;21003,2;650
0,32;21556,1;20991,3;650
0,33;21740,3;20940,1;650
0,34;21859,3;20885,2;650
0,35;21855;20880,9;650
0,36;21753,2;20893,8;650
0,37;21655,1;20897,5;650
0,38;21684,8;20889,5;650
0,39;21775,5;20838;650
0,4;21841,2;20794,7;650
0,41;21851,5;20811;650
0,42;21804;20786,1;650
0,43;21763,7;20795,1;650
0,44;21780,5;20788,5;650
0,45;21834,5;20776,2;650
0,46;21871,2;20754,5;650
0,47;21864,6;20739;650
0,48;21842,5;20745,6;650
0,49;21835,8;20744,1;650
0,5;21850,3;20742,2;650
0,51;21879,6;20732,9;650
0,52;21897;20710,5;650
0,53;21892,2;20692,7;650
0,54;21871,1;20701,8;650
0,55;21880;20711,6;650
0,56;21900;20693,6;650
0,57;21923,3;20679,9;650
0,58;21909,2;20684,6;650
0,59;21894,9;20681,4;650
0,6;21904,7;20670,4;650
0,61;21933,5;20665,5;650
0,62;21921,2;20660,4;650
0,63;21916,5;20661;650
0,64;21919,3;20649,9;650
0,65;21921;20649,1;650
0,66;21929,4;20645;650
0,67;21929,9;20641,9;650
0,68;21929;20632;650
0,69;21929,7;20636,1;650
0,7;21933;20625,7;650
0,71;21935;20636,7;650
0,72;21917,7;20619,4;650
0,73;21923,4;20625;650
0,74;21919,9;20633,5;650
0,75;21926,2;20621,7;650
0,76;21942,4;20630,2;650
0,77;21921,8;20614,8;650
0,78;21915,1;20626,2;650
0,79;21911,5;20620,3;650
0,8;21921,8;20634,2;650
0,81;21921,1;20630,6;650
0,82;21917,4;20623,9;650
0,83;21917,4;20638,1;650
0,84;21907,6;20635,9;650
0,85;21907,9;20639,4;650
0,86;21895,8;20643,8;650
0,87;21901,3;20653,4;650
0,88;21897,3;20654,7;650
0,89;21902,9;20649;650
0,9;21890,7;20665,4;650
0,91;21864,1;20660,4;650
0,92;21883,8;20673,8;650
0,93;21889,1;20669,4;650
0,94;21867,6;20680,7;650
0,95;21880,6;20693,6;650
0,96;21863,3;20698,8;650
0,97;21850;20710,9;650
0,98;21862;20717,1;650
0,99;21845,2;20714,2;650
